x y
0.156 0.071
0.178 0.07
0.192 0.059
0.197 0.059
0.222 0.07
0.28 0.073
0.324 0.087
0.4 0.045
0.408 0.053
0.508 0.074
0.535 0.047
0.537 0.088
0.667 0.378
0.678 0.365
0.737 0.086
0.834 0.097
0.93 0.247
0.948 0.221
0.978 0.272
0.988 0.312
1.062 0.285
1.21 0.295
1.351 0.587
1.37 0.292
1.436 0.338
1.582 0.733
1.699 0.063
2.137 0.166
2.139 0.171
2.674 0.274
2.686 0.147
2.853 1.804
2.914 0.307
3.22 1.693
4.239 0.094
5.0 0.111
5.185 0.103
5.655 0.054
5.817 0.446
6.406 0.386
8.939 0.253
9.092 2.581
9.32 0.065
9.432 0.278
9.659 0.056
12.399 0.106
13.011 2.552
14.718 3.528
15.542 0.056
17.13 8.896
17.451 0.07
18.268 8.235
18.955 0.658
19.478 0.664
30.452 1.831
31.093 1.802
31.999 10.568
33.974 10.42
37.306 0.132
37.932 0.146
103.993 1.53
137.568 0.732
138.722 0.74
140.182 11.568
171.594 1.853
173.127 1.826
182.532 21.766
184.962 0.215
185.319 0.23
198.873 22.936
205.788 123.826
218.594 0.132
221.328 0.309
223.518 96.783
223.796 0.336
227.249 0.214
231.655 0.233
249.78 7.269
250.494 7.393
264.619 0.273
267.259 0.249
281.061 0.092
283.982 0.101
284.514 0.107
285.303 0.108
291.65 0.095
291.703 160.031
293.98 0.107
300 0.105
300 0.123
300 0.138
300 0.145
300 0.47
300 0.49
300 0.507
300 0.513
300 0.516
300 0.565
300 0.583
300 0.696
300 0.753
300 0.8
300 1.012
300 1.028
300 3.031
300 3.038
300 3.105
300 5.049
300 5.348
300 5.394
300 5.521
300 5.547
300 7.426
300 8.466
300 9.477
300 9.557
300 9.881
300 10.477
300 10.51
300 10.963
300 15.497
300 16.037
300 16.343
300 18.143
300 18.923
300 19.928
300 23.573
300 31.749
300 32.269
300 32.765
300 32.805
300 33.122
300 38.345
300 59.417
300 90.336
300 90.443
300 97.211
300 148.295
300 228.0
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
