x y
0.078 0.06
0.087 0.068
0.133 0.053
0.16 0.043
0.23 0.077
0.234 0.115
0.252 0.09
0.269 0.085
0.298 0.082
0.313 0.228
0.34 0.1
0.402 0.114
0.404 0.066
0.841 0.077
0.856 0.187
1.009 0.455
1.046 0.081
1.074 0.568
1.131 0.169
1.249 0.096
1.335 0.081
1.431 0.262
1.44 0.547
1.548 0.094
1.614 0.278
1.655 0.691
1.682 0.176
1.761 0.193
2.768 1.432
2.965 1.225
4.221 0.194
4.481 0.131
4.74 0.217
5.136 0.051
5.176 0.141
6.74 0.13
6.934 0.071
7.19 2.317
7.681 0.081
7.745 1.896
12.945 0.208
14.21 0.078
14.214 0.098
14.637 0.1
15.922 2.032
16.294 0.503
19.371 0.053
19.673 0.069
20.334 11.385
20.382 11.661
20.854 0.081
21.356 1.528
24.494 8.565
24.915 8.503
25.87 0.427
28.049 10.011
42.036 0.097
42.074 0.386
42.211 0.103
42.822 0.388
43.886 0.068
44.84 0.073
66.586 11.145
66.625 10.686
70.922 0.253
75.192 0.269
102.168 19.08
103.085 18.982
201.769 14.176
203.738 14.182
214.063 0.128
214.799 0.137
251.295 0.661
251.982 0.743
300 0.083
300 0.088
300 0.116
300 0.129
300 0.148
300 0.149
300 0.177
300 0.178
300 0.189
300 0.201
300 0.216
300 0.217
300 0.221
300 0.283
300 0.31
300 0.317
300 0.33
300 0.355
300 0.363
300 0.363
300 0.384
300 0.44
300 0.488
300 1.979
300 2.044
300 2.331
300 2.53
300 4.122
300 4.13
300 4.659
300 7.168
300 7.777
300 12.515
300 14.578
300 17.415
300 17.735
300 23.206
300 24.938
300 25.425
300 26.981
300 42.988
300 43.988
300 44.329
300 56.348
300 64.093
300 65.346
300 68.834
300 69.379
300 73.611
300 116.301
300 121.111
300 121.318
300 123.938
300 183.811
300 285.322
300 285.59
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
