x y
0.09 0.047
0.091 0.177
0.098 0.069
0.11 0.061
0.117 0.111
0.126 0.073
0.127 0.06
0.167 0.159
0.178 0.162
0.273 0.244
0.412 0.285
0.426 0.51
0.632 0.62
0.85 0.347
0.909 0.926
1.191 0.697
9.456 0.204
9.81 0.288
9.961 0.35
10.796 0.49
11.219 0.163
11.389 0.075
11.687 0.137
11.745 0.211
11.752 0.213
13.069 0.284
17.056 9.306
17.469 17.016
25.356 28.25
26.175 19.072
27.511 0.12
28.016 0.358
123.748 0.128
123.813 0.145
125.171 0.177
126.229 0.141
126.713 0.138
128.304 0.064
132.124 0.1
144.458 0.058
151.65 0.089
151.772 0.08
153.612 0.113
153.774 0.104
171.897 0.079
173.274 0.097
173.404 0.135
174.936 0.176
175.925 0.26
176.746 0.183
176.836 0.071
177.357 0.073
177.482 0.091
177.719 0.093
203.23 0.085
203.936 0.075
206.881 0.1
207.889 0.108
216.809 0.097
218.068 0.067
223.822 0.179
226.971 0.178
228.601 0.168
244.534 0.24
246.767 0.055
247.886 0.055
250.108 0.078
251.186 0.087
251.912 0.1
255.211 0.24
270.071 0.105
276.566 0.194
300 0.052
300 0.06
300 0.099
300 0.103
300 0.104
300 0.112
300 0.131
300 0.146
300 0.152
300 0.156
300 0.182
300 0.193
300 0.194
300 0.206
300 0.206
300 0.206
300 0.212
300 0.221
300 0.222
300 0.225
300 0.254
300 0.277
300 0.293
300 0.295
300 0.309
300 0.316
300 0.333
300 0.349
300 0.353
300 0.356
300 0.384
300 0.444
300 0.495
300 0.507
300 0.516
300 0.535
300 0.536
300 0.543
300 0.555
300 0.565
300 0.569
300 0.658
300 0.741
300 0.742
300 0.755
300 0.766
300 0.867
300 0.888
300 0.901
300 0.915
300 0.926
300 0.941
300 0.955
300 1.114
300 1.191
300 1.411
300 1.416
300 1.578
300 17.782
300 17.884
300 17.964
300 18.123
300 27.111
300 27.176
300 27.18
300 27.5
300 48.997
300 77.822
300 80.257
300 80.702
300 80.845
300 80.939
300 300
300 300
300 300
300 300
300 300
300 300
