x y
0.065 0.056
0.081 0.547
0.083 300
0.093 0.071
0.098 0.078
0.103 0.097
0.107 0.101
0.108 0.085
0.113 0.089
0.171 0.166
0.177 0.138
0.193 0.187
0.206 0.131
0.217 0.216
0.24 0.087
0.24 0.168
0.244 0.162
0.26 0.176
0.273 0.178
0.273 0.249
0.284 0.213
0.285 0.272
0.295 0.292
0.363 0.363
0.378 0.365
0.384 0.355
0.388 0.386
0.444 0.295
0.455 0.568
0.49 0.35
0.536 0.356
0.543 0.353
0.555 0.349
0.583 0.513
0.667 0.678
0.732 0.74
0.743 0.661
0.888 0.658
0.909 0.632
0.926 0.62
1.009 1.074
1.028 1.012
1.046 1.44
1.062 0.978
1.191 0.915
1.21 1.37
1.411 0.941
1.416 0.955
1.578 1.114
1.693 1.804
1.761 0.856
1.826 1.853
1.896 2.317
2.044 1.979
2.139 2.137
3.22 2.853
3.528 8.235
4.122 4.13
5.547 5.521
7.269 7.393
7.745 7.19
8.503 8.565
9.32 9.659
9.477 9.557
10.568 10.42
10.796 9.961
11.661 11.385
13.069 11.752
14.182 14.176
14.214 14.21
14.718 18.268
15.497 16.037
18.123 17.782
18.143 18.923
18.982 19.08
20.382 20.334
21.766 22.936
24.915 24.494
24.938 25.425
27.5 27.18
31.749 32.269
31.999 33.974
32.805 32.765
42.211 42.036
42.822 42.074
44.329 43.988
65.346 68.834
80.939 80.702
90.443 90.336
103.085 102.168
125.171 126.713
137.568 138.722
153.612 151.65
173.127 171.594
175.925 174.936
177.719 176.836
182.532 198.873
203.738 201.769
207.889 203.23
244.534 228.601
249.78 250.494
251.982 251.295
255.211 251.186
264.619 267.259
284.514 283.982
285.322 285.59
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
