x y
0.068 0.06
0.07 0.056
0.07 0.059
0.073 0.068
0.081 0.069
0.081 0.071
0.082 0.077
0.087 0.073
0.087 0.078
0.088 0.074
0.091 0.073
0.094 0.077
0.097 0.086
0.1 0.075
0.1 0.078
0.104 0.08
0.107 0.095
0.108 0.092
0.111 0.094
0.114 0.1
0.115 0.228
0.116 0.088
0.137 0.128
0.138 0.105
0.141 0.131
0.145 0.123
0.145 0.128
0.146 0.104
0.146 0.132
0.149 0.129
0.159 0.111
0.167 0.117
0.176 0.169
0.178 0.179
0.183 0.135
0.189 0.178
0.211 0.163
0.217 0.194
0.221 0.201
0.222 0.197
0.23 0.215
0.233 0.214
0.234 0.313
0.247 0.221
0.269 0.253
0.277 0.212
0.278 0.253
0.278 0.262
0.288 0.204
0.293 0.206
0.298 0.23
0.307 0.274
0.309 0.225
0.31 0.283
0.324 0.28
0.33 0.317
0.333 0.222
0.336 0.309
0.402 0.34
0.426 0.412
0.488 0.44
0.495 0.384
0.507 0.47
0.51 0.285
0.516 0.49
0.537 0.508
0.664 0.658
0.742 0.569
0.766 0.507
0.8 0.753
0.834 0.737
0.867 0.755
0.926 0.741
0.93 0.948
1.548 0.841
1.614 1.431
1.682 1.131
1.831 1.802
2.914 2.674
3.038 3.031
4.74 4.221
5.0 4.239
5.176 4.481
5.394 5.348
7.681 6.934
9.432 8.939
9.81 9.456
10.477 10.51
11.145 10.686
11.745 11.219
17.451 15.542
17.735 17.415
17.884 17.964
19.478 18.955
20.854 19.673
27.176 27.111
30.452 31.093
37.932 37.306
44.84 43.886
66.586 66.625
75.192 70.922
80.845 80.257
121.318 121.111
123.813 123.748
153.774 151.772
176.746 173.404
177.482 177.357
185.319 184.962
206.881 203.936
214.799 214.063
223.796 221.328
226.971 223.822
231.655 227.249
251.912 250.108
285.303 281.061
293.98 291.65
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
