x y
0.043 0.081
0.045 0.053
0.047 0.061
0.047 0.338
0.051 0.208
0.052 0.06
0.053 0.096
0.053 0.427
0.054 0.106
0.055 0.055
0.058 0.1
0.059 0.733
0.063 0.386
0.064 0.141
0.066 0.691
0.067 0.097
0.069 0.06
0.07 0.587
0.071 0.312
0.075 0.137
0.079 0.097
0.085 1.432
0.09 0.11
0.09 1.225
0.091 0.126
0.098 0.127
0.099 0.182
0.1 1.528
0.103 0.193
0.103 2.552
0.105 0.194
0.112 0.206
0.12 0.358
0.13 2.032
0.132 1.53
0.133 1.249
0.147 2.581
0.148 2.331
0.152 0.535
0.156 0.316
0.156 0.988
0.16 1.335
0.177 0.073
0.177 2.53
0.178 1.351
0.192 1.582
0.194 0.516
0.221 0.901
0.252 2.965
0.254 0.565
0.269 2.768
0.347 0.697
0.4 0.408
0.404 1.655
0.446 8.896
0.503 10.011
0.535 1.436
0.565 11.568
0.696 33.122
0.85 1.191
1.699 6.406
2.686 9.092
3.105 19.928
4.659 56.348
5.049 59.417
5.136 12.945
5.185 13.011
5.655 12.399
5.817 17.13
6.74 15.922
7.168 69.379
7.426 148.295
7.777 73.611
8.466 96.783
9.306 17.016
9.881 97.211
10.963 123.826
11.389 11.687
12.515 123.938
14.578 116.301
14.637 21.356
16.294 28.049
16.343 160.031
17.056 17.469
19.072 28.25
19.371 25.87
23.206 183.811
23.573 228.0
26.175 25.356
26.981 300
27.511 28.016
38.345 300
42.988 300
48.997 77.822
64.093 300
128.304 126.229
144.458 132.124
171.897 173.274
218.068 216.809
218.594 103.993
246.767 247.886
270.071 276.566
300 140.182
300 205.788
300 223.518
300 291.703
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
