x y
0.076 0.05
0.079 0.066
0.08 0.057
0.081 0.051
0.082 0.05
0.085 0.071
0.093 0.055
0.096 0.071
0.099 0.079
0.1 0.048
0.106 0.055
0.106 0.082
0.107 0.051
0.111 0.049
0.112 0.063
0.114 0.058
0.114 0.087
0.123 0.066
0.123 0.1
0.127 0.112
0.13 0.063
0.134 0.062
0.138 0.055
0.142 0.053
0.144 0.118
0.149 0.078
0.154 0.102
0.17 0.068
0.173 0.068
0.179 0.093
0.198 0.121
0.201 0.145
0.201 0.184
0.202 0.123
0.203 0.19
0.239 0.14
0.245 0.086
0.256 0.071
0.263 0.134
0.272 0.082
0.29 0.127
0.292 0.13
0.295 0.083
0.31 0.109
0.31 0.146
0.313 0.127
0.321 0.082
0.328 0.202
0.349 0.107
0.388 0.097
0.403 0.215
0.404 0.157
0.41 0.095
0.416 0.047
0.444 0.12
0.71 0.191
0.717 0.145
0.725 0.195
0.75 0.156
0.806 0.103
0.829 0.099
0.833 0.164
0.858 0.151
0.864 0.099
0.877 0.349
0.886 0.294
0.893 0.155
0.944 0.429
0.969 0.197
1.019 0.454
1.021 0.29
1.049 0.278
1.074 0.09
1.121 0.29
1.156 0.2
1.158 0.2
1.704 0.066
2.504 0.091
2.586 0.415
2.628 0.417
2.914 0.363
2.955 0.588
3.005 0.069
3.015 0.059
3.099 0.23
3.256 0.107
3.356 0.092
5.065 0.059
5.622 0.098
6.201 0.204
6.971 4.605
7.01 6.839
7.543 0.225
7.666 0.225
7.766 0.877
9.912 5.198
10.002 5.285
10.597 1.156
11.018 0.07
11.291 0.468
11.383 3.371
12.242 0.096
13.22 1.264
13.367 0.123
26.63 0.261
26.794 1.009
29.629 1.805
29.63 1.96
34.007 0.092
34.354 10.269
37.848 17.656
37.878 0.062
39.376 0.353
40.531 0.547
106.651 0.817
111.735 16.661
135.97 0.94
171.273 0.92
181.182 48.448
192.904 48.301
223.558 0.137
226.036 33.189
226.398 32.576
280.002 13.539
300 0.109
300 0.18
300 0.191
300 0.67
300 0.88
300 1.505
300 2.805
300 2.852
300 3.568
300 4.101
300 4.159
300 4.514
300 8.69
300 9.836
300 10.403
300 11.078
300 12.849
300 14.912
300 21.884
300 24.331
300 27.1
300 32.814
300 51.244
300 62.626
300 82.736
300 156.589
