x y
0.043 0.064
0.045 0.067
0.047 0.062
0.049 0.056
0.05 0.068
0.053 0.052
0.056 0.064
0.07 0.065
0.07 0.096
0.072 0.081
0.078 0.085
0.082 0.097
0.084 0.109
0.089 0.102
0.09 0.065
0.106 0.081
0.116 0.121
0.118 0.106
0.121 0.055
0.126 0.057
0.138 0.049
0.156 0.062
0.157 0.071
0.17 0.054
0.177 0.053
0.18 0.188
0.19 0.074
0.191 0.091
0.206 0.114
0.223 0.084
0.226 0.176
0.23 0.079
0.261 0.119
0.267 0.108
0.288 0.088
0.296 0.115
0.3 0.105
0.304 0.159
0.309 0.119
0.317 0.178
0.362 0.055
0.363 0.066
0.365 0.15
0.401 0.074
0.402 0.057
0.436 0.065
0.477 0.072
0.526 0.152
0.614 0.065
0.648 0.11
0.716 0.286
0.787 0.065
0.957 0.069
1.061 0.055
1.212 0.154
1.246 0.134
1.253 0.104
1.3 0.054
1.422 0.149
1.489 0.345
1.516 0.084
2.191 0.095
2.195 0.098
2.289 2.985
2.29 2.919
2.422 0.642
2.653 0.38
2.696 0.2
3.243 1.525
3.263 1.362
3.843 0.159
3.863 0.155
4.212 0.189
4.253 0.183
5.111 0.098
6.573 0.085
9.566 5.49
10.028 5.442
10.851 2.107
10.857 2.273
12.873 0.185
13.085 0.23
14.311 0.06
14.8 20.774
14.957 20.906
15.292 0.391
19.32 0.098
20.408 0.122
21.394 1.292
21.777 1.285
23.9 4.592
25.888 0.183
27.319 38.096
27.369 0.066
27.829 0.105
27.953 0.388
78.489 2.854
78.702 2.761
85.995 2.966
86.117 2.883
88.33 62.531
89.233 0.083
114.906 5.311
121.801 5.374
167.793 72.715
171.928 72.602
175.722 1.039
182.756 0.12
300 0.072
300 0.257
300 0.726
300 0.918
300 0.972
300 1.697
300 1.812
300 2.083
300 2.157
300 2.289
300 2.946
300 3.099
300 12.543
300 17.681
300 25.316
300 27.529
300 28.946
300 32.674
300 37.964
300 47.374
300 90.519
300 117.739
300 248.315
300 295.711
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
