x y
0.054 0.072
0.059 0.06
0.06 0.071
0.06 0.084
0.061 0.068
0.061 0.075
0.062 0.064
0.062 0.097
0.063 0.07
0.063 0.074
0.063 0.094
0.067 0.088
0.067 0.089
0.068 0.087
0.069 0.052
0.073 0.1
0.073 0.104
0.073 0.181
0.074 0.056
0.076 0.096
0.076 0.098
0.079 0.055
0.081 0.117
0.084 0.098
0.087 0.114
0.088 0.059
0.088 0.136
0.089 0.052
0.089 0.064
0.091 0.104
0.091 0.117
0.092 0.151
0.093 0.114
0.097 0.147
0.101 0.084
0.102 0.064
0.102 0.129
0.103 0.126
0.104 0.155
0.105 0.057
0.106 0.07
0.106 0.132
0.107 0.197
0.108 0.082
0.111 0.14
0.113 0.163
0.118 0.072
0.12 0.062
0.124 0.188
0.126 0.179
0.127 0.157
0.13 0.067
0.134 0.149
0.138 0.088
0.141 0.202
0.141 0.204
0.143 0.075
0.143 0.159
0.147 0.194
0.148 0.1
0.151 0.218
0.155 0.22
0.161 0.148
0.165 0.101
0.167 0.11
0.168 0.224
0.168 0.237
0.171 0.232
0.18 0.365
0.188 0.244
0.191 0.092
0.191 0.256
0.2 0.222
0.203 0.087
0.203 0.125
0.209 0.234
0.218 0.206
0.22 0.539
0.232 0.127
0.232 0.226
0.237 0.146
0.24 0.331
0.271 0.382
0.293 0.356
0.297 0.394
0.3 0.427
0.306 0.435
0.312 0.214
0.313 0.145
0.322 0.15
0.328 1.032
0.355 0.298
0.358 0.405
0.383 0.119
0.408 0.285
0.418 0.293
0.421 0.17
0.453 0.344
0.459 0.325
0.461 0.469
0.506 0.657
0.515 0.265
0.551 0.242
0.554 0.472
0.555 0.386
0.591 1.164
0.596 0.638
0.613 0.317
0.65 0.414
0.706 0.297
0.711 0.489
0.714 0.733
0.76 0.324
0.774 0.548
0.812 0.82
0.856 1.115
0.857 1.077
0.874 0.662
0.915 0.83
0.922 0.512
0.932 0.397
1.113 1.114
1.235 0.74
1.397 0.446
1.408 0.783
2.233 0.567
12.443 20.481
12.531 17.735
12.638 25.335
12.645 23.195
13.864 18.422
13.923 18.743
13.971 18.582
14.068 20.757
17.202 9.587
18.002 17.347
18.422 21.05
18.62 18.494
72.128 18.503
72.313 19.716
72.584 21.277
72.59 19.865
206.774 56.943
211.175 107.563
300 0.229
300 300
300 300
300 300
300 300
300 300
