x y
0.057 0.055
0.061 0.059
0.062 0.112
0.063 0.051
0.065 0.055
0.065 0.286
0.068 0.062
0.069 0.059
0.073 0.06
0.073 0.067
0.075 0.06
0.078 0.053
0.084 0.057
0.084 0.087
0.087 0.064
0.095 0.098
0.098 0.114
0.104 0.071
0.104 0.154
0.105 0.388
0.109 2.805
0.112 0.107
0.12 1.039
0.123 0.121
0.124 0.091
0.126 0.121
0.134 0.127
0.141 0.102
0.141 0.103
0.149 0.142
0.149 0.15
0.151 0.099
0.155 0.111
0.155 0.159
0.156 0.145
0.171 0.151
0.181 0.088
0.188 0.117
0.189 0.183
0.19 0.184
0.2 0.2
0.202 0.126
0.202 0.198
0.203 0.201
0.204 0.129
0.22 0.14
0.225 0.225
0.232 0.218
0.271 0.168
0.293 0.218
0.294 0.155
0.3 0.209
0.306 0.24
0.328 0.22
0.356 0.206
0.363 0.588
0.38 0.2
0.382 0.224
0.415 0.417
0.427 0.234
0.435 0.331
0.506 0.358
0.547 0.353
0.614 0.716
0.657 0.405
0.75 0.717
0.787 0.362
0.812 2.233
0.82 0.567
0.83 0.548
0.856 0.591
0.857 0.596
0.858 0.864
0.886 0.893
0.915 0.774
1.009 0.261
1.032 0.539
1.077 0.638
1.113 0.874
1.114 0.662
1.115 1.164
1.158 1.156
1.253 1.212
1.264 0.123
1.285 1.292
1.422 0.365
1.516 0.402
1.525 1.362
1.96 1.805
2.191 2.195
2.273 2.107
2.586 2.628
2.653 2.696
2.854 2.761
2.914 2.955
2.966 2.883
3.005 3.015
3.243 3.263
3.863 3.843
4.212 4.253
5.285 5.198
5.374 5.311
5.442 5.49
7.543 7.666
9.836 10.403
10.002 9.912
10.028 9.566
10.857 10.851
12.645 12.638
12.849 13.539
13.22 13.367
14.068 13.923
17.656 0.062
20.757 18.743
21.277 19.865
21.777 21.394
23.195 25.335
24.331 4.101
26.794 26.63
27.829 27.953
29.63 29.629
32.576 33.189
37.848 37.878
40.531 39.376
62.626 11.078
72.584 72.59
72.602 72.715
78.489 78.702
85.995 86.117
121.801 114.906
171.928 167.793
182.756 175.722
226.398 226.036
300 280.002
300 295.711
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
