x y
0.056 0.049
0.057 0.05
0.06 0.061
0.062 0.063
0.063 0.054
0.064 0.056
0.065 0.068
0.066 0.051
0.066 0.064
0.067 0.063
0.069 0.065
0.071 0.05
0.072 0.052
0.074 0.062
0.076 0.076
0.079 0.055
0.079 0.081
0.08 0.076
0.082 0.055
0.082 0.07
0.084 0.068
0.084 0.07
0.085 0.082
0.087 0.071
0.089 0.074
0.089 0.078
0.092 0.073
0.093 0.068
0.094 0.072
0.096 0.098
0.097 0.065
0.097 0.07
0.097 0.091
0.099 0.106
0.102 0.063
0.102 0.085
0.104 0.088
0.105 0.091
0.106 0.093
0.107 0.082
0.108 0.081
0.109 0.083
0.109 0.096
0.11 0.084
0.113 0.093
0.114 0.096
0.115 0.088
0.116 0.106
0.118 0.1
0.119 0.106
0.12 0.095
0.121 0.081
0.126 0.106
0.127 0.082
0.134 0.086
0.14 0.071
0.144 0.123
0.145 0.068
0.146 0.13
0.147 0.104
0.151 0.1
0.152 0.071
0.154 0.13
0.155 0.136
0.159 0.119
0.163 0.114
0.164 0.103
0.168 0.127
0.176 0.067
0.178 0.114
0.179 0.132
0.179 0.17
0.18 0.147
0.18 0.156
0.188 0.062
0.188 0.134
0.191 0.143
0.2 0.161
0.201 0.173
0.202 0.127
0.215 0.097
0.222 0.148
0.226 0.045
0.23 0.107
0.237 0.157
0.239 0.256
0.244 0.149
0.256 0.159
0.263 0.245
0.267 0.072
0.278 0.09
0.29 0.272
0.296 0.288
0.297 0.232
0.3 0.191
0.304 0.261
0.309 0.118
0.31 0.292
0.31 0.295
0.317 0.206
0.328 0.313
0.349 0.321
0.363 0.043
0.365 0.194
0.386 0.265
0.394 0.226
0.401 0.047
0.403 0.388
0.436 0.05
0.444 0.41
0.461 0.355
0.469 0.298
0.472 0.293
0.477 0.053
0.489 0.317
0.526 0.157
0.554 0.418
0.555 0.515
0.648 0.223
0.711 0.613
0.714 0.65
0.733 0.414
0.833 0.806
0.957 0.09
1.049 1.074
2.289 2.29
2.985 2.919
3.099 3.256
3.371 0.07
4.605 6.839
6.971 7.01
10.269 0.092
11.383 11.018
12.531 12.443
13.971 13.864
14.957 14.8
17.735 20.481
18.582 18.422
19.716 18.503
20.906 20.774
27.319 27.369
34.354 34.007
38.096 0.066
62.531 0.083
72.313 72.128
88.33 89.233
300 0.072
300 0.229
300 300
300 300
