x y
0.048 0.047
0.049 0.055
0.049 0.099
0.052 0.056
0.052 0.057
0.053 0.054
0.054 0.134
0.055 0.059
0.055 0.197
0.058 0.195
0.059 0.468
0.06 0.122
0.064 0.062
0.064 0.067
0.066 0.204
0.066 0.349
0.069 0.074
0.07 0.088
0.072 0.075
0.074 0.345
0.079 0.088
0.079 0.642
0.081 0.108
0.084 0.1
0.085 0.391
0.087 0.119
0.089 0.105
0.089 0.12
0.091 0.877
0.092 0.15
0.092 1.156
0.098 0.096
0.098 0.183
0.098 0.185
0.1 0.416
0.101 0.145
0.101 0.148
0.102 0.13
0.106 0.138
0.107 0.167
0.111 0.829
0.114 0.725
0.117 0.082
0.118 0.143
0.123 0.877
0.125 0.344
0.127 0.17
0.137 0.817
0.138 0.969
0.138 1.061
0.146 0.285
0.157 0.429
0.165 0.313
0.17 1.246
0.177 1.3
0.18 0.94
0.19 1.489
0.191 0.29
0.191 0.29
0.191 0.322
0.197 0.11
0.203 0.383
0.203 0.453
0.214 0.297
0.23 2.422
0.23 4.592
0.232 0.421
0.237 0.408
0.242 0.446
0.257 0.972
0.312 0.706
0.325 0.324
0.397 0.783
0.404 0.944
0.454 0.88
0.459 0.76
0.512 0.74
0.551 1.397
0.67 14.912
0.71 1.021
0.726 12.543
0.918 17.681
0.92 16.661
0.922 1.235
0.932 1.408
1.019 300
1.505 21.884
1.697 27.529
1.704 6.201
1.812 25.316
2.083 32.674
2.157 2.946
2.289 28.946
2.504 7.766
2.852 48.301
3.099 47.374
3.356 10.597
3.568 51.244
4.159 48.448
4.514 32.814
5.065 11.291
5.111 12.873
5.622 12.242
6.573 15.292
8.69 27.1
9.587 17.347
13.085 23.9
14.311 20.408
17.202 18.002
18.422 18.62
19.32 25.888
21.05 18.494
37.964 90.519
56.943 107.563
82.736 156.589
117.739 300
171.273 111.735
206.774 211.175
223.558 106.651
248.315 300
300 1.121
300 135.97
300 181.182
300 192.904
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
300 300
